,pupilId,classId,taskId,taskSeriesId,duration,state,evaluation,falseAttempts,teacherFeedback,revision,helpRequested,subType,question,sampleSolution,number words in answer,numberHints,rating_content,rating_format,rating_creativity
564,TLqNCrX4jaYixjtv7,qFEyvypMn4sAwLwtc,AI-4-v2-1-3,AI-4-v2,778,Es gibt spezifische KI und die Vorstellung von allgemeine KI. Spezifische zeigen menschenähnliche Intelligenz in einem kleinen Bereich und allgemeine KI zeigen menschenähnliche Intelligenz in alle Bereiche. Allerdings gibt es noch keine allgemeine KI. KI lernen durch Erfahrung in einem Deeplearning-prozess,correct,,,,,freetext,"Jetzt weißt du schon mehr über KI. Sag nochmal in eigenen Worten, was KI ist. Denk dabei an die Eigenschaften, durch die sich KI-Anwendungen auszeichnen und die verschiedenen Arten von KIs.","KI-Anwendungen zeichnen sich aus durch intelligentes Verhalten, das Treffen eigenständiger Entscheidungen und dem Lernen mittels Erfahrung. Man unterscheidet spezifische und allgemeine KI, wobei die spezifische KI intelligentes Verhalten in nur einem kleinen Bereich der Intelligenz zeigt. Alle bisherigen KI-Anwendungen gehören zur spezifischen KI. Allgemeine Intelligenz haben diese nicht.",41.0,,3.0,5.0,4.0
567,TLqNCrX4jaYixjtv7,qFEyvypMn4sAwLwtc,ML-1-1-1,ML-1,425,"Es ist ein Hund,...... wenn es zwei Augen hat.... wenn es Fell hat.... wenn es einen Schwanz hat.... wenn es zwei Ohren hat.... wenn es eine Schnauze hat.... wenn es ein Tier mit Leine ist.<br>",correct,,,,,freetext,"Kannst du einen Algorithmus schreiben, der Hunde auf Bildern erkennt? Überlege dir vorher was einen Hund ausmacht. Nutze Regeln wie “Es ist ein Hund, wenn es vier Pfoten hat.” oder “Es ist ein Hund, wenn es ein Tier mit Leine ist.”","Die SuS sollen sinnvolle Wenn-Dann-Regeln finden, die beschreiben, wie Hunde auf Bildern erkannt werden können.",35.0,,5.0,5.0,4.0
572,TLqNCrX4jaYixjtv7,qFEyvypMn4sAwLwtc,ML-2-1-2,ML-2,406,"Maschinelles Lernen, auch Deep-learning genannt hat drei Schichten, jeweils für Helligkeit, Ecken und Kanten und Muster. Wenn dem Computer Daten zugeschickt wird, gehen die Daten durch die drei Schichten. Am Ende entscheidet der Computer, ob zB. auf einem Bild ein Hund gezeigt wird. ",correct,,,,,freetext,"Weißt du vielleicht schon etwas über das maschinelle Lernen? Es ist gar nicht schlimm, wenn das noch nicht der Fall ist. Dann schreib einfach, dass du noch nichts weißt.","Das ist nur eine Abfrage, um über das Vorwissen der SuS bescheid zu wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",43.0,,5.0,5.0,4.0
582,TLqNCrX4jaYixjtv7,qFEyvypMn4sAwLwtc,Clustering-2-1-1,Clustering-2,524,"Beauty, Vlogs repräsentiert eine Make-Up-Marke. Weil die Youtuber sich im Video schminken. Die Zuschauer von Kindererziehung, Geldanlage würden Autos kaufen. Weil sie Kinder zur Schule bringen müssen und man mit 30 ein Auto leisten kann. ",correct,,,,,freetext,"Schau dir die Mittelpunkte der Cluster genau an. Welches Cluster repräsentiert am ehesten eine Make-Up-Marke? Und die Zuschauer welches Clusters würden am ehesten Autos kaufen? Beschreibe in 4-5 Sätzen, welche Cluster du jeweils gewählt hast und warum diese Youtuber die perfekten Markenbotschafter dafür wären.","Make-Up: Cluster 1 repräsentiert es am besten. Ist bereits Thema und die Zuschauer sind die richtig Zielgruppe. Autos: Cluster 3-6 wären alle alt genug. Alle wären möglich, käme auf das Auto an. Cluster 4 zB eher Familienautos, 5 und 6 eher günstige Kleinwagen und Cluster 3 auch teurere Autos.",35.0,,3.0,4.0,4.0
592,TLqNCrX4jaYixjtv7,qFEyvypMn4sAwLwtc,LimitsML-1-2,LimitsML,48,Dann erkennt der Algorithmus Seehunde als Hunde.,correct,,,,,freetext,"Was würde passieren, wenn wir alle Bilder von Hunden durch Bilder von Seehunden ersetzen würden, diese aber als Hunde labeln?","Der Algorithmus würde lernen, Seehunde auf unseren Bildern zu erkennen, ihnen aber das Label “Hund” geben.",7.0,,5.0,5.0,5.0
599,TLqNCrX4jaYixjtv7,qFEyvypMn4sAwLwtc,EvalML-1-7,EvalML,499,"Es gibt überwachtes Lernen und unüberwachtes Lernen. Überwachtes Lernen ist wenn die Trainingsdaten mit Label beschriftet werden und der Algorithmus am Ende selbst Bilder mit Label beschriften kann. Beim unüberwachten Lernen werden die Daten in verschiedene Cluster unterteilt, es findet Struktur in den Daten.",correct,,,,,freetext,"Beschreib noch einmal in eigenen Worten, was maschinelles Lernen ist.","Das maschinelle Lernen ist ein Teilbereich der KI. Er beschäftigt sich mit Programmen, die selbständig in großen Datenmengen Gesetzmäßigkeiten erkennen können. Solche Programme lernen anhand vieler Beispiele bzw. aus Erfahrung.",44.0,,4.0,5.0,4.0
603,hn2oJ5p2CwPfG44wx,qFEyvypMn4sAwLwtc,AI-1-v2-1-2,AI-1-v2,818,"Bei Künstlichen Intelligenzen wird durch das Deep Learning (dies kann z.B. über Pixel Registrierungen bei Bildern funktionieren, wenn es um Bilderkennung handelt) versucht, Computern die Fähigkeit zu verleihen menschlich zu denken und zu lernen.",correct,,,,,freetext,"Was ist deiner Meinung nach Künstliche Intelligenz? Es ist gar nicht schlimm, wenn du dir nicht ganz sicher bist. Du bist ja hier, um es zu lernen. Schreib einfach alles auf, was du über sie weißt oder denkst. Bei solchen Aufgaben, kriegt deine Lehrkraft deine abgegebene Antwort immer zugeschickt, um sie bewerten zu können. ","Die Schülerinnen und Schüler (SuS) sollen beschreiben, was sie schon über KI wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",34.0,,4.0,5.0,5.0
610,hn2oJ5p2CwPfG44wx,qFEyvypMn4sAwLwtc,AI-4-v2-1-3,AI-4-v2,511,"Es gibt zwei Arten von KIs einmal die spezifische KI und einmal die allgemeine KI. Die allgemeine KI ist in allen Bereichen gut und ist demnach auf einer Leistungshöhe mit dem Menschen. Eine spezifische KI ist jedoch nur in einer spezifischen Aufgabe gut.Anwendungen, die sich an etwas anpassen und selbst Entscheidungen treffen, gehören zur KI. ",correct,,,,,freetext,"Jetzt weißt du schon mehr über KI. Sag nochmal in eigenen Worten, was KI ist. Denk dabei an die Eigenschaften, durch die sich KI-Anwendungen auszeichnen und die verschiedenen Arten von KIs.","KI-Anwendungen zeichnen sich aus durch intelligentes Verhalten, das Treffen eigenständiger Entscheidungen und dem Lernen mittels Erfahrung. Man unterscheidet spezifische und allgemeine KI, wobei die spezifische KI intelligentes Verhalten in nur einem kleinen Bereich der Intelligenz zeigt. Alle bisherigen KI-Anwendungen gehören zur spezifischen KI. Allgemeine Intelligenz haben diese nicht.",55.0,,4.0,5.0,4.0
613,hn2oJ5p2CwPfG44wx,qFEyvypMn4sAwLwtc,ML-1-1-1,ML-1,438,"Das Algorithmus muss den Umriss eines Hundes kennen. Außerdem muss er die typischen Merkmale Hundes wie die Nase, Augen und Pfoten kennen. Noch hinzu muss er die Farbe des Fells und die Helligkeitswerte Identifizierenen.",correct,,,,,freetext,"Kannst du einen Algorithmus schreiben, der Hunde auf Bildern erkennt? Überlege dir vorher was einen Hund ausmacht. Nutze Regeln wie “Es ist ein Hund, wenn es vier Pfoten hat.” oder “Es ist ein Hund, wenn es ein Tier mit Leine ist.”","Die SuS sollen sinnvolle Wenn-Dann-Regeln finden, die beschreiben, wie Hunde auf Bildern erkannt werden können.",34.0,,3.0,5.0,4.0
618,hn2oJ5p2CwPfG44wx,qFEyvypMn4sAwLwtc,ML-2-1-2,ML-2,786,"Maschinelles Lernen wird auch ""deep learning"" genannt. Dabei lernt das Computer durch Erfahrungen in einem bestimmten Bereich. Wenn man möchte das ein Computer Katzen erkennen kann, legt man ihm viele verschiedene Katzen Bilder vor. Dann erkennt er alle Ecken, Kanten und typische Formen, wie Nase, Ohren. Durch häufige Wiederholungen lernt der Computer dann, auch von anderen Bildern Katzen zu erkennen. ",correct,,,,,freetext,"Weißt du vielleicht schon etwas über das maschinelle Lernen? Es ist gar nicht schlimm, wenn das noch nicht der Fall ist. Dann schreib einfach, dass du noch nichts weißt.","Das ist nur eine Abfrage, um über das Vorwissen der SuS bescheid zu wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",60.0,,5.0,5.0,4.0
628,hn2oJ5p2CwPfG44wx,qFEyvypMn4sAwLwtc,Clustering-2-1-1,Clustering-2,770,"Das Beauty, Vlogs repräsentiert am ehesten eine Make-Up-Marke, da es da ohnehin schon mehr um so etwas wie Make-up geht. Außerdem sind die meisten Zuschauer Frauen und da Make-up meist etwas für Frauen ist, passt es.Und die Zuschauer von dem Cluster Kindererziehung, Geldanlage würden am ehesten Autos kaufen, da Leute in großen Familien meistens Autos brauchen. Außerdem passen Autos auch noch für Leute, die sich für Geldanlage interessieren, da sie sich meistens Autos leisten können.",correct,,,,,freetext,"Schau dir die Mittelpunkte der Cluster genau an. Welches Cluster repräsentiert am ehesten eine Make-Up-Marke? Und die Zuschauer welches Clusters würden am ehesten Autos kaufen? Beschreibe in 4-5 Sätzen, welche Cluster du jeweils gewählt hast und warum diese Youtuber die perfekten Markenbotschafter dafür wären.","Make-Up: Cluster 1 repräsentiert es am besten. Ist bereits Thema und die Zuschauer sind die richtig Zielgruppe. Autos: Cluster 3-6 wären alle alt genug. Alle wären möglich, käme auf das Auto an. Cluster 4 zB eher Familienautos, 5 und 6 eher günstige Kleinwagen und Cluster 3 auch teurere Autos.",75.0,,4.0,5.0,4.0
638,hn2oJ5p2CwPfG44wx,qFEyvypMn4sAwLwtc,LimitsML-1-2,LimitsML,87,"Dann würde das Algorithmus nur Seehunde als Hunde ansehen, echte Hunde jedoch nicht.",correct,,,,,freetext,"Was würde passieren, wenn wir alle Bilder von Hunden durch Bilder von Seehunden ersetzen würden, diese aber als Hunde labeln?","Der Algorithmus würde lernen, Seehunde auf unseren Bildern zu erkennen, ihnen aber das Label “Hund” geben.",13.0,,5.0,5.0,5.0
645,hn2oJ5p2CwPfG44wx,qFEyvypMn4sAwLwtc,EvalML-1-7,EvalML,372,"Maschinelles Lernen ist Lernen durch Erfahrungen. Dabei werden Algorithmen zum Beispiel viele verschiedene Bilder mit bestimmten Objekten oder Lebewesen vorgelegt, damit es lernt auch von anderen Bildern sie zu erkennen. ",correct,,,,,freetext,"Beschreib noch einmal in eigenen Worten, was maschinelles Lernen ist.","Das maschinelle Lernen ist ein Teilbereich der KI. Er beschäftigt sich mit Programmen, die selbständig in großen Datenmengen Gesetzmäßigkeiten erkennen können. Solche Programme lernen anhand vieler Beispiele bzw. aus Erfahrung.",30.0,,5.0,5.0,3.0
648,hn2oJ5p2CwPfG44wx,qFEyvypMn4sAwLwtc,Impact-2-1-1,Impact-2,401,"Man könnte Videos hochladen, die nie passiert sind. Dann werden die Personen für etwas beschuldigt das nie passiert ist. Außerdem könnte man das Videomaterial von Überwachungskameras sabotieren. Dann könnten Verbrecher davon kommen und sogar unschuldige Verhaftet werden.",correct,,,,,freetext,Was für Probleme könnten durch den Einsatz von Deepfakes entstehen?,"Mögliche Probleme: Der Ruf und die Privatsphäre bestimmter Personen kann gezielt angegriffen werden. Meinungen können manipuliert werden. Es wird möglich, Videobeweisen leichter zu widersprechen.",37.0,,4.0,4.0,4.0
657,kdqG4fXAK64zdrqN8,qFEyvypMn4sAwLwtc,AI-1-v2-1-2,AI-1-v2,1100,"Künstliche Intelligenz sorgt für die Digitalisierung. Durch das Deep Learning lernen sie Dinge objektiv zu bewerten, also wird menschliches Denken auf Computer übertragen. Dazu gehören Roboter, autonomes Fahren, Computertomographie. Viele sind gegen die Künstliche Intelligenz (Roboter), da sie der Meinung sind, dass sie keine Entscheidungen treffen sollten. ",correct,,,,,freetext,"Was ist deiner Meinung nach Künstliche Intelligenz? Es ist gar nicht schlimm, wenn du dir nicht ganz sicher bist. Du bist ja hier, um es zu lernen. Schreib einfach alles auf, was du über sie weißt oder denkst. Bei solchen Aufgaben, kriegt deine Lehrkraft deine abgegebene Antwort immer zugeschickt, um sie bewerten zu können. ","Die Schülerinnen und Schüler (SuS) sollen beschreiben, was sie schon über KI wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",47.0,,5.0,5.0,4.0
664,kdqG4fXAK64zdrqN8,qFEyvypMn4sAwLwtc,AI-4-v2-1-3,AI-4-v2,638,"Die KI behandelt das maschinelle Lernen und die Automatisierung intelligenten Verhaltens. Die KI nimmt uns Menschen bestimmte Arbeiten ab, wie z.B. im industriellen Bereich.",correct,,,,,freetext,"Jetzt weißt du schon mehr über KI. Sag nochmal in eigenen Worten, was KI ist. Denk dabei an die Eigenschaften, durch die sich KI-Anwendungen auszeichnen und die verschiedenen Arten von KIs.","KI-Anwendungen zeichnen sich aus durch intelligentes Verhalten, das Treffen eigenständiger Entscheidungen und dem Lernen mittels Erfahrung. Man unterscheidet spezifische und allgemeine KI, wobei die spezifische KI intelligentes Verhalten in nur einem kleinen Bereich der Intelligenz zeigt. Alle bisherigen KI-Anwendungen gehören zur spezifischen KI. Allgemeine Intelligenz haben diese nicht.",24.0,,4.0,5.0,3.0
667,kdqG4fXAK64zdrqN8,qFEyvypMn4sAwLwtc,ML-1-1-1,ML-1,227,"Es ist ein Hund, wenn es eine Schnauze hat.Es ist ein Hund, wenn es zwei Ohren hat.Es ist ein Hund, wenn es einen Schwanz hat.",correct,,,,,freetext,"Kannst du einen Algorithmus schreiben, der Hunde auf Bildern erkennt? Überlege dir vorher was einen Hund ausmacht. Nutze Regeln wie “Es ist ein Hund, wenn es vier Pfoten hat.” oder “Es ist ein Hund, wenn es ein Tier mit Leine ist.”","Die SuS sollen sinnvolle Wenn-Dann-Regeln finden, die beschreiben, wie Hunde auf Bildern erkannt werden können.",25.0,,4.0,5.0,4.0
672,kdqG4fXAK64zdrqN8,qFEyvypMn4sAwLwtc,ML-2-1-2,ML-2,154,"Es ist eine Art Training, bei dem KIs Wissen und Erfahrung erlernen, mit Hilfe von Beispielen. ",correct,,,,,freetext,"Weißt du vielleicht schon etwas über das maschinelle Lernen? Es ist gar nicht schlimm, wenn das noch nicht der Fall ist. Dann schreib einfach, dass du noch nichts weißt.","Das ist nur eine Abfrage, um über das Vorwissen der SuS bescheid zu wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",16.0,,4.0,4.0,4.0
682,kdqG4fXAK64zdrqN8,qFEyvypMn4sAwLwtc,Clustering-2-1-1,Clustering-2,513,"Beauty und Vlogs repräsentieren am ehesten eine Make-Up-Marke. Bei Autos eher Extremsport, Yoga und Kindererziehung und Geldanlage. Zu Make-Up-Marken passen Beauty und Vlogs, denn Make-Up hat etwas mit Beauty zu tun. Und bei Autos Kindererziehung, Geldanlage und Extremsport, Yoga, weil Familien eventuell nach guten Autos für die Familie suchen und andere eventuell nach sportlichen Autos suchen.",correct,,,,,freetext,"Schau dir die Mittelpunkte der Cluster genau an. Welches Cluster repräsentiert am ehesten eine Make-Up-Marke? Und die Zuschauer welches Clusters würden am ehesten Autos kaufen? Beschreibe in 4-5 Sätzen, welche Cluster du jeweils gewählt hast und warum diese Youtuber die perfekten Markenbotschafter dafür wären.","Make-Up: Cluster 1 repräsentiert es am besten. Ist bereits Thema und die Zuschauer sind die richtig Zielgruppe. Autos: Cluster 3-6 wären alle alt genug. Alle wären möglich, käme auf das Auto an. Cluster 4 zB eher Familienautos, 5 und 6 eher günstige Kleinwagen und Cluster 3 auch teurere Autos.",56.0,,4.0,5.0,4.0
692,kdqG4fXAK64zdrqN8,qFEyvypMn4sAwLwtc,LimitsML-1-2,LimitsML,198,"Dann denke ich würden die Seehunde nicht als Hunde erkannt werden, weil sie nicht die Eigenschaften eines Hundes haben.",correct,,,,,freetext,"Was würde passieren, wenn wir alle Bilder von Hunden durch Bilder von Seehunden ersetzen würden, diese aber als Hunde labeln?","Der Algorithmus würde lernen, Seehunde auf unseren Bildern zu erkennen, ihnen aber das Label “Hund” geben.",19.0,,5.0,5.0,5.0
699,kdqG4fXAK64zdrqN8,qFEyvypMn4sAwLwtc,EvalML-1-7,EvalML,250,Maschinen sind dadurch in der Lage Probleme zu lösen und lernen mit Mustern und Daten immer mehr dazu. ,correct,,,,,freetext,"Beschreib noch einmal in eigenen Worten, was maschinelles Lernen ist.","Das maschinelle Lernen ist ein Teilbereich der KI. Er beschäftigt sich mit Programmen, die selbständig in großen Datenmengen Gesetzmäßigkeiten erkennen können. Solche Programme lernen anhand vieler Beispiele bzw. aus Erfahrung.",18.0,,5.0,5.0,4.0
702,kdqG4fXAK64zdrqN8,qFEyvypMn4sAwLwtc,Impact-2-1-1,Impact-2,230,"Die Situationen und die Menschen könnten komplett falsch verstanden werden, indem es so aussieht als hätten sie etwas gemacht, was gar nicht der Fall ist. ",correct,,,,,freetext,Was für Probleme könnten durch den Einsatz von Deepfakes entstehen?,"Mögliche Probleme: Der Ruf und die Privatsphäre bestimmter Personen kann gezielt angegriffen werden. Meinungen können manipuliert werden. Es wird möglich, Videobeweisen leichter zu widersprechen.",25.0,,5.0,5.0,4.0
711,Absyuhryq96KZL2Cs,qFEyvypMn4sAwLwtc,AI-1-v2-1-2,AI-1-v2,308,"<h3>Die Künstliche Intelligenz ist menschliches Lernen und denken, welches man auf dem Computer übermittelt und dieser dann technisch umsetzt.</h3><br>",correct,,,,,freetext,"Was ist deiner Meinung nach Künstliche Intelligenz? Es ist gar nicht schlimm, wenn du dir nicht ganz sicher bist. Du bist ja hier, um es zu lernen. Schreib einfach alles auf, was du über sie weißt oder denkst. Bei solchen Aufgaben, kriegt deine Lehrkraft deine abgegebene Antwort immer zugeschickt, um sie bewerten zu können. ","Die Schülerinnen und Schüler (SuS) sollen beschreiben, was sie schon über KI wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",19.0,,4.0,4.0,5.0
718,Absyuhryq96KZL2Cs,qFEyvypMn4sAwLwtc,AI-4-v2-1-3,AI-4-v2,1280,- KI wird inn der Zukunft in autos sein<ul><li>vereinfacht den Menschen das Leben </li><li>lernt durch seine Fehler</li><li>Wird auch später in anderen Fachbereichen auftreten</li></ul>,correct,,,,,freetext,"Jetzt weißt du schon mehr über KI. Sag nochmal in eigenen Worten, was KI ist. Denk dabei an die Eigenschaften, durch die sich KI-Anwendungen auszeichnen und die verschiedenen Arten von KIs.","KI-Anwendungen zeichnen sich aus durch intelligentes Verhalten, das Treffen eigenständiger Entscheidungen und dem Lernen mittels Erfahrung. Man unterscheidet spezifische und allgemeine KI, wobei die spezifische KI intelligentes Verhalten in nur einem kleinen Bereich der Intelligenz zeigt. Alle bisherigen KI-Anwendungen gehören zur spezifischen KI. Allgemeine Intelligenz haben diese nicht.",23.0,,3.0,3.0,4.0
721,Absyuhryq96KZL2Cs,qFEyvypMn4sAwLwtc,ML-1-1-1,ML-1,1060,"<h3>-“Es ist ein Hund, wenn es vier Pfoten hat.”</h3><h3>-“Es ist ein Hund, wenn es ein Tier mit Leine ist.”</h3><h3>-“Es ist ein Hund, wenn langer Schwanz.''</h3><h3>-“Es ist ein Hund, wenn es Fell besitzt.''</h3><h3>-“Es ist ein Hund, wenn es eine Schnauze hat.''</h3><h3>-“Es ist ein Hund, wenn Schnurrhaare.''</h3><h3>-“Es ist ein Hund, wenn es Wuff Wuff macht.''</h3><br><br><br><br><br><br><br>",correct,,,,,freetext,"Kannst du einen Algorithmus schreiben, der Hunde auf Bildern erkennt? Überlege dir vorher was einen Hund ausmacht. Nutze Regeln wie “Es ist ein Hund, wenn es vier Pfoten hat.” oder “Es ist ein Hund, wenn es ein Tier mit Leine ist.”","Die SuS sollen sinnvolle Wenn-Dann-Regeln finden, die beschreiben, wie Hunde auf Bildern erkannt werden können.",53.0,,5.0,5.0,4.0
726,j3AkifkKRR3t3NeoT,qFEyvypMn4sAwLwtc,AI-1-v2-1-2,AI-1-v2,575,"KI kann man auch als menschliches Lernen bezeichnen. In Zukunft soll KI in Autos, aber auch als Roboter als Haushaltshelfer ein fester Bestandteil unseres Alltags sein. Künstliche Intelligenz will man in Zukunft auch in der Medizin nutzen. Dort soll es dann Dinge wie Muster erkennen, wo Ärtze nichts anfangen können. KI hat auch schlechte Seiten. Wenn zukünftig mehr KI genutzt wird, dann fallen die Zahlen der Arbeitsplätze. ",correct,,,,,freetext,"Was ist deiner Meinung nach Künstliche Intelligenz? Es ist gar nicht schlimm, wenn du dir nicht ganz sicher bist. Du bist ja hier, um es zu lernen. Schreib einfach alles auf, was du über sie weißt oder denkst. Bei solchen Aufgaben, kriegt deine Lehrkraft deine abgegebene Antwort immer zugeschickt, um sie bewerten zu können. ","Die Schülerinnen und Schüler (SuS) sollen beschreiben, was sie schon über KI wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",67.0,,4.0,4.0,5.0
733,j3AkifkKRR3t3NeoT,qFEyvypMn4sAwLwtc,AI-4-v2-1-3,AI-4-v2,622,"Es gibt zwei Arten von KI. Einmal die spezifische und die allgemeine. Die spezifische KI ist trainiert in einem bestimmten Bereich zu arbeiten. Die allgemeine KI kann viel mehr Dinge gut und positiv in verschiedenen Bereichen erbringen. KI nutzt man z.B. bei Websiten, die deinen Feed nach deinem Geschmack personalisieren. Außerdem kann KI Dinge durch ihr Aussehen erkennen. KI lernt aus Erfahrung.",correct,,,,,freetext,"Jetzt weißt du schon mehr über KI. Sag nochmal in eigenen Worten, was KI ist. Denk dabei an die Eigenschaften, durch die sich KI-Anwendungen auszeichnen und die verschiedenen Arten von KIs.","KI-Anwendungen zeichnen sich aus durch intelligentes Verhalten, das Treffen eigenständiger Entscheidungen und dem Lernen mittels Erfahrung. Man unterscheidet spezifische und allgemeine KI, wobei die spezifische KI intelligentes Verhalten in nur einem kleinen Bereich der Intelligenz zeigt. Alle bisherigen KI-Anwendungen gehören zur spezifischen KI. Allgemeine Intelligenz haben diese nicht.",62.0,,5.0,5.0,4.0
736,j3AkifkKRR3t3NeoT,qFEyvypMn4sAwLwtc,ML-1-1-1,ML-1,453,"Es ist ein Hund wenn es Pfoten hat.Es ist ein Hund, wenn es Fell besitzt.Es ist ein Hund, wenn es eine Schnautze hat.Es ist ein Hund, wenn es keine Schnurhaare hat.Es ist ein Hund, wenn es einen Schwanz hat.",correct,,,,,freetext,"Kannst du einen Algorithmus schreiben, der Hunde auf Bildern erkennt? Überlege dir vorher was einen Hund ausmacht. Nutze Regeln wie “Es ist ein Hund, wenn es vier Pfoten hat.” oder “Es ist ein Hund, wenn es ein Tier mit Leine ist.”","Die SuS sollen sinnvolle Wenn-Dann-Regeln finden, die beschreiben, wie Hunde auf Bildern erkannt werden können.",39.0,,5.0,5.0,4.0
741,j3AkifkKRR3t3NeoT,qFEyvypMn4sAwLwtc,ML-2-1-2,ML-2,190,"Bei maschinellem Lernen werden dem Computer viele Bilder eines Begriffs gezeigt wie zum Beispiel ganz viele Hundebilder. Dort lernt der Computer, was an den vielen Bildern so ähnlich ist und kennzeichnet dies als Eigenschaft. Das heißt, dass wenn man viele Hundebilder zeigt, dass der Computer sich dann theoretisch merkt, dass ein Hund immer eine Schnauze hat.",correct,,,,,freetext,"Weißt du vielleicht schon etwas über das maschinelle Lernen? Es ist gar nicht schlimm, wenn das noch nicht der Fall ist. Dann schreib einfach, dass du noch nichts weißt.","Das ist nur eine Abfrage, um über das Vorwissen der SuS bescheid zu wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",56.0,,4.0,5.0,3.0
751,j3AkifkKRR3t3NeoT,qFEyvypMn4sAwLwtc,Clustering-2-1-1,Clustering-2,406,"Ich denke, dass Cluster 1 am ehesten eine Make-Up-Marke repräsentiert, denn die Zuschauer sind weiblich. Die Videos haben sehr viele Views. Außerdem beinhalten die häufigen Themen Beauty, was ja perfekt passt. Dazu sind die Zuschauer noch jung.<br>Ich denke die Zuschauer des Clusters 5 würden am ehesten ein Auto kaufen, da der Youtuber selbst Content von Extremsport veröffentlicht. Die Zuschauer sind auch schon alt genug.",pending,,,,,freetext,"Schau dir die Mittelpunkte der Cluster genau an. Welches Cluster repräsentiert am ehesten eine Make-Up-Marke? Und die Zuschauer welches Clusters würden am ehesten Autos kaufen? Beschreibe in 4-5 Sätzen, welche Cluster du jeweils gewählt hast und warum diese Youtuber die perfekten Markenbotschafter dafür wären.","Make-Up: Cluster 1 repräsentiert es am besten. Ist bereits Thema und die Zuschauer sind die richtig Zielgruppe. Autos: Cluster 3-6 wären alle alt genug. Alle wären möglich, käme auf das Auto an. Cluster 4 zB eher Familienautos, 5 und 6 eher günstige Kleinwagen und Cluster 3 auch teurere Autos.",64.0,,,,
753,XKrLvRHLaM7yDisR6,qFEyvypMn4sAwLwtc,AI-1-v2-1-2,AI-1-v2,811,"Künstliche Intelligenz (KI) ist ein weitreichender Zweig der Informatik, der sich mit dem Bau intelligenter Maschinen befasst, die Aufgaben ausführen können, die normalerweise menschliche Intelligenz erfordern. KI ist eine interdisziplinäre Wissenschaft mit mehreren Ansätzen, aber Fortschritte beim maschinellen Lernen und beim tiefen Lernen führen zu einer Verschiebung in praktisch allen Bereichen der Technologiebranche.<br>",correct,,,,,freetext,"Was ist deiner Meinung nach Künstliche Intelligenz? Es ist gar nicht schlimm, wenn du dir nicht ganz sicher bist. Du bist ja hier, um es zu lernen. Schreib einfach alles auf, was du über sie weißt oder denkst. Bei solchen Aufgaben, kriegt deine Lehrkraft deine abgegebene Antwort immer zugeschickt, um sie bewerten zu können. ","Die Schülerinnen und Schüler (SuS) sollen beschreiben, was sie schon über KI wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",53.0,,5.0,5.0,4.0
760,XKrLvRHLaM7yDisR6,qFEyvypMn4sAwLwtc,AI-4-v2-1-3,AI-4-v2,486,"<pre class=""ql-syntax"" spellcheck=""false"">KI ist ein weitreichender Zweig der Informatik, der sich mit dem Bau intelligenter Maschinen befasst, die Aufgaben ausführen können. KI ist  Fortschritte beim maschinellen Lernen und beim tiefen Lernen führen zu einer Verschiebung in praktisch allen Bereichen der Technologiebranche. es variiert von Allgemeine KI und Spezifische KI.
</pre>",correct,,,,,freetext,"Jetzt weißt du schon mehr über KI. Sag nochmal in eigenen Worten, was KI ist. Denk dabei an die Eigenschaften, durch die sich KI-Anwendungen auszeichnen und die verschiedenen Arten von KIs.","KI-Anwendungen zeichnen sich aus durch intelligentes Verhalten, das Treffen eigenständiger Entscheidungen und dem Lernen mittels Erfahrung. Man unterscheidet spezifische und allgemeine KI, wobei die spezifische KI intelligentes Verhalten in nur einem kleinen Bereich der Intelligenz zeigt. Alle bisherigen KI-Anwendungen gehören zur spezifischen KI. Allgemeine Intelligenz haben diese nicht.",50.0,,4.0,5.0,4.0
763,XKrLvRHLaM7yDisR6,qFEyvypMn4sAwLwtc,ML-1-1-1,ML-1,793,"<pre class=""ql-syntax"" spellcheck=""false"">Es ist ein Hund,wenn es vier Pfoten steht .
 Es ist ein Hund,wenn es eine Schnauze hat.
Es ist ein hund,wenn es einen Schwanz(tail) hat.
</pre><br>",correct,,,,,freetext,"Kannst du einen Algorithmus schreiben, der Hunde auf Bildern erkennt? Überlege dir vorher was einen Hund ausmacht. Nutze Regeln wie “Es ist ein Hund, wenn es vier Pfoten hat.” oder “Es ist ein Hund, wenn es ein Tier mit Leine ist.”","Die SuS sollen sinnvolle Wenn-Dann-Regeln finden, die beschreiben, wie Hunde auf Bildern erkannt werden können.",28.0,,5.0,5.0,4.0
